FIMP,Declaration_Date,Detail,Amount
1088,01/05/2023,(illegible) local bonds,"€25,000.00"
1090,20/03/2023,Global Capital Real Life Policy Account 1906-015285 (till 15 December 2022),"€12,509.32"
1093,18/04/2023,Self mill-HSBC Bank Malta p.l.c li jinkludi self fuq karti ta' kreditu,"€4,528.50"
1093,18/04/2023,Ihi Bond 2024,"€1,624.00"
1093,18/04/2023,Lib Bond 2011,€4.50
1093,18/04/2023,Candriam Euro Bond,"€6,496.80"
1093,18/04/2023,Schroder International Selection Euro Bond,"€5,916.89"
1093,18/04/2023,Invesco Global Inc Fund,"€6,289.25"
1093,18/04/2023,CC High Income Bond Fund,"€5,601.81"
1093,18/04/2023,4.3% Malta Government Stock 2033,"€10,000.00"
1093,18/04/2023,4.45% Malta Government Stock 2032,"€5,000.00"
1093,18/04/2023,4.5% Malta Government Stock 2028,"€13,200.00"
1093,18/04/2023,4.65% Malta Government Stock 2032,"€7,500.00"
1093,18/04/2023,4.8% Malta Government Stock 2028,"€3,500.00"
1093,18/04/2023,5% Tumas Investments plc Unsecured Bonds 2024,"€2,900.00"
1093,18/04/2023,5.1% Malta Government Stock 2029,"€5,000.00"
1093,18/04/2023,5.25% Malta Government Stock 2030,"€2,500.00"
1093,18/04/2023,6% AX Investments plc Bonds 2024,"€1,900.00"
1093,18/04/2023,6% Medserv Regis plc Secured and Guaranteed Notes 2020-2023,€900.00
1093,18/04/2023,GO plc Ordinary Shares,"€1,150.00"
1093,18/04/2023,Malta Properties Company plc Ordinary Shares,"€1,150.00"
1093,18/04/2023,Vilhena Malta Government Bond Funds DIS,9517 (ammont)
1093,18/04/2023,Vilhena High Yield Fund EUR,4111 (ammont)
1093,18/04/2023,Vilhena Sterling Income Fund (Stanley Zammit),2567 (ammont)
1093,18/04/2023,International Investment Funds Sterling Bond,4047 (ammont)
1094,25/04/2023,"HSBC Bank Malta ordinary shares 1,266 at EUR1.020 as at 24.04.2023","€1,291.32"
1094,25/04/2023,Policy Comp. Endowment balance as at 31.12.2021,"€21,211.71"
1094,25/04/2023,Policy Comp. Flexi Plan FP500144 (Faith) as at 31.12.2021,"€4,337.81"
1094,25/04/2023,Policy Comp. Flexi Plan FP500150 (Kayden) as at 31.12.2021,"€3,929.27"
1094,25/04/2023,Statements of policies as at end 2021 as new statements issued end of May 2023,/
1096,27/04/2023,Malta Government Stock,
1096,27/04/2023,BOV overdraft,"€10,000.00"
1096,27/04/2023,Guarantor to Loan (illegible),"€18,500.00"
1096,27/04/2023,VISA/Mastercards,"€41,321.00"
