FIMP,Declaration Date,Bank,Description,Amount_EUR,Amount,Currency
1022,22/04/2023,BOV,50001784320 - Bank Account Closed. Account was obo ESO ,0.00,0.00,EUR
1022,23/04/2023,BOV,40022513470,"1,645.77","1,645.77",EUR
1022,24/04/2023,BOV,40025712139,1.00,1.00,EUR
1022,25/04/2023,APS Bank,20001720184,88.32,88.32,EUR
1023,08/02/2023,BOV,Savings and Current Accounts maintained both jointly with my mother and alone  ,"32,713.68","32,713.68",EUR
1024,17/02/2023,BOV,Savings Account,"21,902.63","21,902.63",EUR
1024,17/02/2023,BOV,Current Account,949.05,949.05,EUR
1025,28/04/2023,BOV,Current Account,"5,756.76","5,756.76",EUR
1025,28/04/2023,BANIF,Current Account,60.87,60.87,EUR
1025,28/04/2023,BOV,Savings Account,,,
1026,25/04/2023,HSBC,Student Account,378.06,378.06,EUR
1026,25/04/2023,HSBC,Savings-Taxable,"1,206.79","1,206.79",EUR
1026,25/04/2023,Revolut,Standard Account,52.41,52.41,EUR
1027,04/04/2023,BOV,Personal Account,"22,994.17","22,994.17",EUR
1028,24/04/2023,BOV,Savings Account,"22,445.89","22,445.89",EUR
1028,24/04/2023,BOV,Current Account,"1,546.16","1,546.16",EUR
1028,24/04/2023,BOV,Joint Account,"17,976.94","17,976.94",EUR
1028,24/04/2023,BNF,Current Account,"7,127.10","7,127.10",EUR
1028,24/04/2023,BNF,Savings Account,7.94,7.94,EUR
1028,24/04/2023,BNF,Home Loan,"-49,381.94","-49,381.94",EUR
1029,20/04/2023,BOV,Savings Account,"155,000.00","155,000.00",EUR
1030,17/04/2023,APS Bank,,"31,331.90","31,331.90",EUR
1030,17/04/2023,BOV,,"12,517.57","12,517.57",EUR
1030,17/04/2023,APS Bank,Loan,"-64,900.49","-64,900.49",EUR
1030,17/04/2023,APS Bank,Loan,"-12,703.45","-12,703.45",EUR
1031,17/04/2023,HSBC,Joint Savings,"6,774.99","6,774.99",EUR
1031,17/04/2023,HSBC (Loan),Loan,"-66,287.12","-66,287.12",EUR
1031,17/04/2023,APS Bank,Personal Account,"11,550.26","11,550.26",EUR
1031,17/04/2023,APS Bank,Joint Savings,"77,730.84","77,730.84",EUR
1032,21/02/2023,APS Bank,Savings and Current Account (including joint with spouse),"48,389.00","48,389.00",EUR
1033,28/04/2023,BOV,Savings Account,"51,710.61","51,710.61",EUR
1033,28/04/2023,Revolut,Current Account & Vault,121.35,121.35,EUR
1034,16/04/2023,HSBC,Account in my name,"7,246.04","7,246.04",EUR
1034,16/04/2023,HSBC,Debt in my name,"-166,099.60","-166,099.60",EUR
1034,16/04/2023,BOV,Account in me and spouse's name,646.89,646.89,EUR
1034,16/04/2023,BOV,Debt in me and spouse's name,"-11,655.06","-11,655.06",EUR
1035,26/04/2023,BOV,Savings Account,691.50,691.50,EUR
1035,26/04/2023,BOV,Savings Account,"1,786.55","1,786.55",EUR
1036,09/02/2023,BOV,Depozitu,"91,226.19","91,226.19",EUR
1036,09/02/2023,BOV,Joint Account (with wife),"40,800.66","40,800.66",EUR
1037,24/04/2023,HSBC,Current Accounts,"2,186.49","2,186.49",EUR
1037,24/04/2023,HSBC,Savings Accounts,"52,000.00","52,000.00",EUR
1037,24/04/2023,HSBC,Savings Account,797.08,797.08,EUR
1037,24/04/2023,HSBC,Savings Personal Account,"67,944.93","67,944.93",EUR
1037,24/04/2023,HSBC,Savings Joint Account,"7,514.39","7,514.39",EUR
1038,14/03/2023,HSBC,Current Account,"24,062.92","24,062.92",EUR
1038,14/03/2023,HSBC,Current Account,0.00,0.00,EUR
1038,14/03/2023,HSBC,Loan Account,"-11,308.69","-11,308.69",EUR
1038,14/03/2023,Revolut,Standard Account,56.73,56.73,EUR
1039,26/04/2023,BOV,Savings Account,"8,112.03","8,112.03",EUR
1039,26/04/2023,BOV,Term Deposit,"1,230.32","1,230.32",EUR
1039,26/04/2023,HSBC,Current Account,56.31,56.31,EUR
1039,26/04/2023,HSBC,Savings Account,684.93,684.93,EUR
1039,26/04/2023,HSBC,Savings Account,"65,825.34","65,825.34",EUR
1039,26/05/2023,HSBC,Savings Account,"49,032.47","49,032.47",EUR
1039,26/04/2023,HSBC,Online Savings Account,"57,968.09","57,968.09",EUR
