Period,Year,Party,Category,Type_of_Donation,Amount,Number_of_Donations,Donor
May - August,2018,Partit Demokratiku,D  ,"Total individual donations exceeding €500 but not €7,000","2,021.00",3,Anonymous
September - Decemeber,2018,Partit Demokratiku,D  ,"Total individual donations exceeding €500 but not €7,000","4,044.00",2,Anonymous
January - December ,2016,Partit Laburista,B,Total donations not exceeding €50 collected during manifestations,"370,370.00",N/A,Anonymous
January  - December,2016,Partit Laburista,C,Total individual donations not exceeding €500,"21,784.00",135,Anonymous
January - December ,2016,Partit Laburista,D,"Total individual donations exceeding €500 but not €7,000","145,427.00",77,Anonymous
January - December ,2016,Partit Laburista,A,"Total individual donations exceeding €7,000","13,000.00",1,PL - Marsaxlokk 
January - December ,2016,Partit Laburista,A,"Total individual donations exceeding €7,000","10,000.00",1,Attard Bros Co Ltd
January - December ,2016,Partit Laburista,A,"Total individual donations exceeding €7,000","10,000.00",1,BV Formosa Company Ltd
January - December ,2016,Partit Laburista,A,"Total individual donations exceeding €7,000","10,000.00",1,Camland Ltd
January - December ,2016,Partit Laburista,A,"Total individual donations exceeding €7,000","10,000.00",1,Eurocraft Ltd
January - December ,2016,Partit Laburista,A,"Total individual donations exceeding €7,000","10,000.00",1,Gap Holdings Ltd
January - December ,2016,Partit Laburista,A,"Total individual donations exceeding €7,000","10,000.00",1,Halmann Holdings Ltd
January - December ,2016,Partit Laburista,A,"Total individual donations exceeding €7,000","20,000.00",1,Seaview and Sons Ltd
January - April,2017,Partit Laburista,B,Total donations not exceeding €50 collected during manifestations,"6,966.00",N/A,Anonymous
May - August,2017,Partit Laburista,B,Total donations not exceeding €50 collected during manifestations,"322,052.00",N/A,Anonymous
January - April,2017,Partit Laburista,C,Total individual donations not exceeding €500,"780,135.00","30,018",Anonymous
September - December ,2017,Partit Laburista,C,Total individual donations not exceeding €500,"1,240,624.00","47,285",Anonymous
January - April,2017,Partit Laburista,D,"Total individual donations exceeding €500 but not €7,000","276,261.00",120,Anonymous
September - December ,2017,Partit Laburista,D,"Total individual donations exceeding €500 but not €7,000","380,602.00",208,Anonymous
May - August,2017,Partit Laburista,A,"Total individual donations exceeding €7,000","15,000.00",1,Marlene Gauci
May - August,2017,Partit Laburista,A,"Total individual donations exceeding €7,000","10,000.00",1,Tarcisio Galea Properties Ltd
January - April,2018,Partit Laburista,B,Total donations not exceeding €50 collected during manifestations,"16,033.00",N/A,Anonymous
May - August,2018,Partit Laburista,B,Total donations not exceeding €50 collected during manifestations,"102,600.00",N/A,Anonymous
May - August,2018,Partit Laburista,C,Total individual donations not exceeding €500,"196,433.00","14,371",Anonymous
September - December ,2018,Partit Laburista,B,Total donations not exceeding €50 collected during manifestations,"12,666.00",N/A,Anonymous
September - December ,2018,Partit Laburista,C,Total individual donations not exceeding €500,"453,248.00","10,202",Anonymous
September - December ,2018,Partit Laburista,D,"Total individual donations exceeding €500 but not €7,000","337,260.00",185,Anonymous
May - August,2018,Partit Laburista,D,"Total individual donations exceeding €500 but not €7,000","213,955.00",106,Anonymous
May - August,2018,Partit Laburista,A,"Total individual donations exceeding €7,000","10,000.00",1,PL - Hamrun
